,Reporter Identifier,p,fold_change,abs_change
0,cg00000292,0.0004936768044408304,1.14662002516135,0.08751859999999989
1,cg00002426,0.00022045417146756755,1.3777963705930194,0.06382575000000001
2,cg00003994,0.030296898431059906,1.7593476878884653,0.01690789000000001
3,cg00005847,1.534363653871589e-07,1.4915863332172654,0.05152980000000003
4,cg00006414,0.8244875546772281,1.42092402240725,0.010003854999999999
5,cg00007981,0.010569237275364221,1.833829039203315,0.010255230000000002
6,cg00008493,0.9372220296692846,1.0036542659977654,0.0035875000000000767
7,cg00008713,0.010999054686041471,1.276464678937084,0.0048889999999999975
8,cg00009407,0.007303470732085747,6.352599112068618,0.04253475
9,cg00010193,0.17729524271776273,1.057444902565507,0.03489809999999993
10,cg00011459,0.02267075541539415,1.02151626564363,0.01977715000000002
11,cg00012199,0.1399169531578995,1.5604673556388413,0.004155815
12,cg00012386,0.00010577399528329756,1.3909075302354983,0.00487285
13,cg00012792,0.009299501961178614,1.3104111912152339,0.004045170000000001
14,cg00013618,0.0010585175358343304,1.016869081827447,0.01521590000000006
15,cg00014085,0.09731712518083212,1.28631076424517,0.005545734999999996
16,cg00014837,0.027635322020688673,1.020902695957205,0.018413349999999884
17,cg00015770,5.653501581740757e-13,1.4148653098872754,0.033629734999999994
18,cg00016968,5.781047965218779e-08,1.1379854489294399,0.09523329999999997
19,cg00019495,0.0006910852535625555,1.6738665072099936,0.14379724999999993
20,cg00020533,0.06437678030237733,1.0138526616454642,0.013112000000000013
21,cg00021527,0.07972938448360246,1.3533117918144397,0.0032606050000000015
22,cg00022606,6.0484140268840846e-05,1.5969881737898244,0.021806390000000002
23,cg00022866,1.3456296194641225e-05,1.1096531735593147,0.06589960000000006
24,cg00024396,0.01326145421009035,1.7281651409904129,0.02087794
25,cg00024812,0.002101691491838743,1.3289890034054939,0.005482355000000001
26,cg00025138,0.023499303220388276,1.5454254058477388,0.008031580000000002
27,cg00025991,0.003490016074240312,1.0706770151977516,0.04889085000000004
28,cg00027083,6.924285949189181e-05,2.8505006191678204,0.015213926
29,cg00027674,0.035096190310928525,1.2544030412231986,0.05399875000000007
30,cg00029826,0.024550048549310696,1.443791299104159,0.011539630000000002
31,cg00029931,0.0006887943841144643,49.309257243122595,0.292061634
32,cg00030047,0.0017411478722694949,1.2940396922770279,0.04410934999999999
33,cg00031162,0.000186934861955039,1.445237521938202,0.16771345
34,cg00032227,0.07170104831981818,1.6045935023541058,0.004318770999999999
35,cg00032666,0.0035815772456244573,1.1372108547309976,0.10707035000000009
36,cg00033516,0.008770830331918672,1.3757394067839253,0.005600595
37,cg00033773,0.11712150004750047,1.0179086282854823,0.016134749999999976
38,cg00034039,0.0730161161116505,1.2401633979353044,0.014660734999999994
39,cg00035347,0.00016867365544882698,1.212850015220915,0.09498664999999995
40,cg00035623,0.040572249707025845,1.424530356656684,0.017853985000000003
41,cg00037763,9.407553197729558e-07,1.0621557155802526,0.05147079999999993
42,cg00037940,0.00017889945428240954,1.0149283855446811,0.013058450000000055
43,cg00040861,0.0011157454129560114,1.558759877572753,0.006338505000000001
44,cg00040873,4.578742638793146e-05,1.3416923829782985,0.041056800000000004
45,cg00041575,3.4635372676637e-06,1.06075298830893,0.04611530000000008
46,cg00042156,0.0010487050414970842,1.1557799880867707,0.08289014999999988
47,cg00043004,3.4766336025670204e-16,1.9981076570929717,0.17767000000000005
48,cg00043080,0.004139290031539567,1.0125384415473089,0.011497049999999787
49,cg00044245,0.0092239147223198,1.8764679275500404,0.023204335
50,cg00044729,2.2813531032943826e-07,1.0660717111329978,0.05770620000000004
51,cg00047050,2.815704420006131e-08,1.3482848844559665,0.016391334999999993
52,cg00047469,0.44893638028197236,1.3284653797829635,0.008570904999999997
53,cg00049986,0.002734844876693089,1.4978098429165878,0.0277117
54,cg00050312,0.03747853528987441,1.4091778229612273,0.004356905000000001
55,cg00051623,0.1945394826243435,1.0133457382695326,0.012643999999999989
56,cg00051979,0.0012768874007342704,1.271107388192343,0.011287285000000001
57,cg00053292,0.24395708634690044,1.2457482733710954,0.004550060000000002
58,cg00053647,0.000258513781758187,1.5471537566057803,0.013066359999999999
59,cg00054706,0.00019131549919928313,1.4878225736253565,0.005856409999999998
60,cg00055233,1.0147315394322622e-13,1.3657631791602576,0.12920234999999997
61,cg00056767,4.652437018166683e-07,1.6983387412587414,0.024965610000000006
62,cg00057593,5.5000314129119425e-09,1.1001626829751723,0.07539770000000001
63,cg00058938,0.0008567296391962379,1.1158178647653685,0.039415350000000016
64,cg00059225,1.8016547205391967e-18,2.4416459561006403,0.1535753
65,cg00059424,0.06359895074274849,1.5786960566263322,0.004841126999999999
66,cg00059740,0.01807392842294413,1.3265388064629722,0.003273385
67,cg00059930,1.9740076009596016e-12,1.0660739897822507,0.05852910000000011
68,cg00060762,0.8233692538167481,1.72323133462969,0.006560476999999999
69,cg00060882,0.001914019671316165,1.2248090612581346,0.05301779999999995
70,cg00061059,0.0035461345509531254,1.61537099784436,0.01140168
71,cg00061629,0.00023337658761287896,1.5071354712771772,0.11890955000000003
72,cg00062776,0.01106768773725768,1.0044825108145556,0.004419900000000032
73,cg00063144,0.007929799056814667,1.0123970229851613,0.010953800000000014
74,cg00065385,0.1529647393619876,1.0174972600455978,0.01665620000000012
75,cg00065408,0.18532363235639185,1.2270178492902455,0.005665814999999998
76,cg00066153,0.002574308283458637,1.0097648320900774,0.009015099999999832
77,cg00066816,7.219397331239108e-05,1.2167547579992348,0.06600475
78,cg00067471,0.01382023642697287,1.2594498930557922,0.028784850000000015
79,cg00069261,0.0012580333986515627,1.3711966429085076,0.019050040000000004
80,cg00071250,2.9547718878073654e-11,1.0542861251792621,0.04644865000000009
81,cg00071998,0.31857634687166203,1.375843836401128,0.0072304949999999965
82,cg00072216,0.03014343281017831,1.4000900262582345,0.005790725
83,cg00075967,5.3829990973817496e-11,1.3015023345444023,0.19791970000000014
84,cg00076645,0.009750853941516393,1.5022589456102058,0.009336705
85,cg00077457,0.14188457709474603,1.0370732331533414,0.02986965000000008
