"SampleID","DNAmAge","Comment","noMissingPerSample","meanMethBySample","minMethBySample","maxMethBySample","corSampleVSgoldstandard","meanAbsDifferenceSampleVSgoldstandard","predictedGender","meanXchromosome"
"E.GEOD.36194_GSM884792",83.1149837610785,"",0,0.27854910253903,0,0.9955394,0.910172017148281,0.0847100285028413,"female",0.527679347533641
"E.GEOD.36194_GSM884702",25.3062576021505,"",0,0.276401535443467,0,0.9928241,0.890590849138473,0.0844836914657634,"male",0.346484329096774
"E.GEOD.36194_GSM884637",38.0740413830479,"",0,0.252347370052883,0,0.9928347,0.892123401027986,0.0875396428767816,"male",0.334169080451613
"E.GEOD.36194_GSM884821",82.2799213202442,"",0,0.275661015883939,0,0.9954098,0.88961082713772,0.0898093084530578,"male",0.356915570706912
"E.GEOD.36194_GSM884781",91.9003215520356,"",0,0.27470488717068,0,0.9962434,0.895023453465426,0.0916149777282549,"male",0.362571975693088
"E.GEOD.36194_GSM884770",54.0234745624928,"",0,0.263025686891763,0,0.9975404,0.896865244387827,0.0881400760494204,"female",0.485391805803687
"E.GEOD.36194_GSM884730",32.2832585574487," Warning: meanMethBySample is <0.25",0,0.240820913712046,0,0.995101,0.858878487135774,0.0876353440656944,"male",0.321418106573272
"E.GEOD.36194_GSM884691",49.866024712623,"",0,0.260700306376526,0,0.9966567,0.900231309287455,0.0868130463510399,"male",0.342964080228571
"E.GEOD.36194_GSM884814",89.9399002682831,"",0,0.269933953968177,0,0.9941061,0.884848359769587,0.0914626924703901,"female",0.520687585368664
"E.GEOD.36194_GSM884612",4.38060856617397," Warning: meanMethBySample is <0.25",0,0.249625725872473,0,0.99542,0.908889840749237,0.0812381051419451,"male",0.327555990929032
"E.GEOD.36194_GSM884669",44.3183236184118,"",0,0.261167991836016,0,0.992535,0.884590520020249,0.0887291113584188,"male",0.347577627261751
"E.GEOD.36194_GSM884642",14.9906943147913,"",0,0.255768217448053,0,0.9944788,0.916250954236011,0.078738582291693,"male",0.335777555189862
"E.GEOD.36194_GSM884768",56.9051071572436," Warning: meanMethBySample is <0.25 Warning: Relatively low correlation between the methylation levels of this sample and the expected values: corSampleVSgoldstandard<0.85.",0,0.236420924901774,0,0.9944849,0.849430960069382,0.089311593921022,"male",0.314673165234101
"E.GEOD.36194_GSM884675",97.1523004973168,"",0,0.271889685539077,0,0.9951504,0.900653624493897,0.0860000247321697,"male",0.354050535721659
"E.GEOD.36194_GSM884738",27.6678582567882,"",0,0.259677850143593,0,0.9944392,0.896270291713224,0.0880642530992062,"female",0.476466998509677
"E.GEOD.36194_GSM884644",15.6070938273508,"",0,0.25712485740687,0,0.9943193,0.899960710486032,0.087188503460408,"female",0.480137017894009
"E.GEOD.36194_GSM884841",11.9306332930122,"",0,0.267543015183124,0,0.993385,0.907315984451365,0.0802622103955711,"female",0.460723709741935
"E.GEOD.36194_GSM884618",20.421392558823,"",0,0.254527965556018,0,0.9949424,0.90029346555312,0.0804470555217459,"male",0.336813560081106
"E.GEOD.36194_GSM884680",59.7642293696728,"",0,0.263692460566033,0,0.9947573,0.898260964984204,0.087634356108888,"female",0.482338145707834
"E.GEOD.36194_GSM884735",27.1802423855569,"",0,0.260678115791293,0,0.9961171,0.910264104263493,0.0834329715508895,"male",0.344535341125346
"E.GEOD.36194_GSM884801",77.6782383274859,"",0,0.268190124395872,0,0.9934209,0.885397823512138,0.0872321194165246,"male",0.360334652482949
"E.GEOD.36194_GSM884629",78.6850258256231,"",0,0.267865999806674,0,0.9918734,0.902166086292788,0.0718220826189887,"female",0.495055778009217
"E.GEOD.36194_GSM884609",30.1011560433565," Warning: meanMethBySample is <0.25 Warning: Relatively low correlation between the methylation levels of this sample and the expected values: corSampleVSgoldstandard<0.85.",0,0.245839793785871,0,0.9948803,0.844024287422117,0.102122021858562,"female",0.500749017375115
"E.GEOD.36194_GSM884714",36.0459319675685,"",0,0.257173664643982,0,0.9958581,0.911483460615158,0.0818408940507604,"male",0.339560583866359
"E.GEOD.36194_GSM884695",52.5095467881126,"",0,0.262061774191642,0,0.9951745,0.90350390387674,0.0858184996875051,"male",0.345409562917051
"E.GEOD.36194_GSM884767",74.139560901779,"",0,0.265216685270685,0,0.9955829,0.878555426724603,0.0895569029420247,"male",0.348819346395392
"E.GEOD.36194_GSM884723",90.3706043841698,"",0,0.266000874269585,0,0.994613,0.892484368437373,0.0904107930979774,"female",0.473102559549309
"E.GEOD.36194_GSM884825",14.9291177127565,"",0,0.270639555080307,0,0.9904889,0.877097866611414,0.0891386381201807,"male",0.358337065070968
"E.GEOD.36194_GSM884832",37.4838218687543,"",0,0.269541299431908,0,0.9942596,0.905359786927715,0.0800314469584494,"male",0.349677700403687
"E.GEOD.36194_GSM884628",82.5314814773301,"",0,0.271000072149616,0,0.9908578,0.892698241435116,0.0772411015572394,"female",0.512798596073733
"E.GEOD.36194_GSM884690",22.8649181634807,"",0,0.255276032609851,0,0.9960089,0.90672625572707,0.0840395387801609,"female",0.474430299186175
"E.GEOD.36194_GSM884813",84.4952015276797,"",0,0.271826766801479,0,0.9948223,0.887347224152992,0.0906888861467864,"female",0.537558473938249
"E.GEOD.36194_GSM884667",55.0788232601468,"",0,0.25516118740102,0,0.9911481,0.90109773999716,0.0809083058659475,"male",0.335450458610138
"E.GEOD.36194_GSM884670",27.0080030836168," Warning: meanMethBySample is <0.25",0,0.237488055645217,0,0.9910069,0.889648788431288,0.0801581927763384,"male",0.310487217974194
"E.GEOD.36194_GSM884784",87.6262201795974,"",0,0.275583119097108,0,0.9948465,0.890888456923683,0.0908190341133433,"male",0.357642216320737
"E.GEOD.36194_GSM884840",53.8050776156842,"",0,0.263522947557469,0,0.9926481,0.873193667455518,0.0915680592980141,"male",0.353362645573272
"E.GEOD.36194_GSM884619",32.3528925547386,"",0,0.25081515869094,0,0.9945325,0.889332932380137,0.0849563315631824,"female",0.475876863489401
"E.GEOD.36194_GSM884684",48.0613024664513,"",0,0.253721238609603,0,0.9948294,0.894268330934862,0.0866263262367693,"male",0.332912603999078
"E.GEOD.36194_GSM884683",17.9255963567477,"",0,0.257566600217007,0,0.9942217,0.909861606152571,0.0797144972237579,"female",0.486133005921659
"E.GEOD.36194_GSM884636",43.1489890374748,"",0,0.261984412348278,0,0.9934701,0.910229678901833,0.0812304860042285,"female",0.478852865511521
"E.GEOD.36194_GSM884641",24.0673319102837," Warning: Relatively low correlation between the methylation levels of this sample and the expected values: corSampleVSgoldstandard<0.85.",0,0.250026130202218,0,0.9930738,0.846944984241489,0.103117379585774,"female",0.476052043036866
